tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt15721106,movie,Boycott,Boycott,0,2021,\N,73,Documentary,8.3,90
tt15310880,movie,Stjer,Stjer,0,2021,\N,124,Comedy,8.3,82
tt16092108,movie,Honk,Honk,0,2022,\N,47,Documentary,8.3,59
tt15235390,movie,Luc Longley and the missing chapter of the Last Dance Full documentary Australian Story,Luc Longley and the missing chapter of the Last Dance Full documentary Australian Story,0,2021,\N,63,Documentary,8.3,55
tt15262604,movie,Seaside Special,Seaside Special,0,2023,\N,93,Documentary,8.3,55
tt20224208,movie,Kopi Pahit,Kopi Pahit,0,2022,\N,71,Drama,8.3,65
tt14378408,movie,Gulal.com,Gulal.com,0,2021,\N,111,Comedy,8.3,52
tt14972740,movie,The Oleanders,Oi pikrodafnes,0,2021,\N,67,Documentary,8.3,56
tt27481100,movie,Who's Afraid of Nathan Law?,Who's Afraid of Nathan Law?,0,2023,\N,90,Documentary,8.3,53
tt27374831,movie,The Nettle Dress,The Nettle Dress,0,2023,\N,68,Documentary,8.3,55
tt22188926,movie,Chakki,Chakki,0,2022,\N,100,Drama,8.3,59
tt28106880,movie,War and Justice,War and Justice,0,2023,\N,93,Documentary,8.3,50
tt21875610,movie,Medal,Medal,0,2022,\N,166,Drama,8.3,58
tt22742316,movie,Hotshot,Hotshot,0,2023,\N,102,Documentary,8.3,84
tt23673826,movie,Purna Purushottam Shree Swaminarayan Bhagwan,Purna Purushottam Shree Swaminarayan Bhagwan,0,2022,\N,\N,Drama,8.3,52
tt14137710,movie,Taledanda,Taledanda,0,2022,\N,132,Drama,8.2,82
tt21053422,movie,The Recycling Myth,The Recycling Myth,0,2022,\N,75,Documentary,8.2,54
tt18483946,movie,Old Friends: A Dogumentary,Old Friends: A Dogumentary,0,2022,\N,\N,Documentary,8.2,58
tt18567908,movie,The Smell of Money,The Smell of Money,0,2022,\N,84,Documentary,8.2,79
tt15275946,movie,Know Your Place,Know Your Place,0,2022,\N,118,Drama,8.2,84
tt14479860,tvMovie,Chondopoton,Chondopoton,0,2021,\N,38,Drama,8.2,71
tt21223418,movie,Overgave,Overgave,0,2022,\N,55,Documentary,8.2,66
tt15381038,movie,Osho,Osho,0,2021,\N,\N,Drama,8.2,55
tt18258632,movie,How to Tell a Secret,How to Tell a Secret,0,2022,\N,101,Documentary,8.2,59
tt30393802,movie,Written in the Stars: The Official Film of the FIFA World Cup Qatar 2022,Written in the Stars: The Official Film of the FIFA World Cup Qatar 2022,0,2023,\N,95,Documentary,8.2,68
tt26491924,movie,Trials to Triumph: The Documentary,Trials to Triumph: The Documentary,0,2023,\N,\N,Documentary,8.2,69
tt25982108,movie,"Greybeard: The Man, the Myth, the Mississippi","Greybeard: The Man, the Myth, the Mississippi",0,2023,\N,90,Documentary,8.2,51
tt27276986,tvMovie,Saving Our Wild Isles,Saving Our Wild Isles,0,2023,\N,53,Documentary,8.2,70
tt31438016,movie,The Case of Engineer Ursu,Cazul Inginerului Ursu,0,2023,\N,98,Documentary,8.2,56
tt23550198,movie,The Levys of Monticello,The Levys of Monticello,0,2022,\N,70,Documentary,8.2,78
tt23722852,movie,Calum Storrie: Drawing Etc,Calum Storrie: Drawing Etc,0,2023,\N,60,Documentary,8.2,56
tt26340918,movie,When You Look Beneath the Skin,When You Look Beneath the Skin,0,2023,\N,93,Drama,8.2,67
tt22784204,movie,Poison Arrows,Poison Arrows,0,2022,\N,104,Comedy,8.2,56
tt4503246,movie,Skin Deep: Formulating a Legacy,Skin Deep: Formulating a Legacy,0,2022,\N,\N,Documentary,8.2,58
tt8075000,movie,After Antarctica,After Antarctica,0,2021,\N,105,Documentary,8.2,53
tt12762788,movie,Box of Rain,Box of Rain,0,2022,\N,78,Documentary,8.1,58
tt10241130,movie,Teen Paayancha Ghoda,Three Legged Horse,0,2023,\N,116,Drama,8.1,54
tt13268264,movie,The Children in the Pictures,The Children in the Pictures,0,2021,\N,84,Documentary,8.1,57
tt10845302,movie,Guththila,Guththila,0,2023,\N,\N,Drama,8.1,76
tt17373462,movie,The Truth,The Truth,0,2022,\N,99,Drama,8.1,69
tt16369236,movie,They Survived Together,They Survived Together,0,2021,\N,80,Documentary,8.1,59
